tier,priority,company,stand,what_they_do,who_to_look_for,why,linkedin_url_PASTE_HERE,contact_name,contact_title
1 SHELTER,1,TECMA Group,"E, 181","Shelter and maquila services, purchasing, transportation. El Paso and Juarez.","VP of Finance (Gabriela) or Director of Finance (Sergio). COO is Jose, CEO Alan.",Runs payroll and supplier payments in Mexico for many US manufacturers. One relationship reaches all of them.,,,
1 SHELTER,2,Tetakawi (formerly The Offshore Group),98,"Shelter operator, industrial parks in Mexico for US manufacturers.","CEO (Luis). EVP Elsa, EVP BizDev Eduardo.",Three person exec team so the CEO is reachable. Same channel logic as TECMA.,,,
1 SHELTER,3,MAQUILA PARTNER,"81, 88",Maquila and shelter services.,"CFO, Controller or Managing Director",Handles cross border payroll and supplier settlement for clients.,,,
1 SHELTER,4,SACSA and Maquila Partners,84,Shelter and manufacturing support.,CFO or General Manager,Same channel shape.,,,
1 SHELTER,5,A + MEXICO SHELTER,80,Shelter services for US manufacturers in Mexico.,"Owner, President or Finance lead",Small operator so the owner likely controls banking.,,,
1 SHELTER,6,INTRAWORKS,150,Manufacturing support and shelter in Mexico.,"CFO, Controller or President",Channel play.,,,
1 SHELTER,7,ONE TEAM,151,Shelter and workforce services.,CFO or President,Channel play.,,,
2 LOGISTICS,8,ARIES WORLD WIDE LOGISTICS,14,International freight forwarding.,"CFO, Controller or President",Cross border settlement is the business. Grupo Palco proved this segment converts.,,,
2 LOGISTICS,9,AS LOGISTICS,"193, 192",Cross border logistics.,"CFO, Controller or Owner",Same.,,,
2 LOGISTICS,10,D-TROY LOGISTICS,"116, 109",Logistics and transport.,"Owner, President or Finance lead",Same.,,,
2 LOGISTICS,11,KF LOGISTICS,121,Freight and logistics.,CFO or Owner,Same.,,,
2 LOGISTICS,12,WORLDHAUL LOGISTICS,103,Freight forwarding.,CFO or President,Same.,,,
2 LOGISTICS,13,DFW INTERNATIONAL,208,International logistics. Note: Santiago (SVP CFO) and Jose Shabot (CEO) already in your network.,SVP CFO or CEO. You already have both connected.,"Warm. Message directly, no connection request needed.",,,
